trial,pnl,maxdd,pnl_dd,trades,position_pct,max_concurrent,buy_cooldown,volatility_gate,rsi_buy,take_profit,trailing_stop,stop_loss,sell_cooldown,time_in_market,time_flat,win_rate,avg_trade_ret,blocks_traded
19,113.38906749280636,0.17113618214957527,84.28160933047727,1752,0.07160544961966674,3,6,1.1184965802635154,43,0.032628874968617806,0.013846338291680289,0.05720955347720652,12,0.5840277777777778,0.4159722222222222,0.43340857787810383,0.0018867867796503286,22
20,-30.923033831973157,0.15343005285607347,-23.806249759008473,1220,0.1004412640108647,2,13,0.9778102532668527,44,0.018191376841342245,0.01966520150402907,0.06425390157456544,3,0.3908459595959596,0.6091540404040404,0.46166394779771613,-0.0004624517226574894,22
21,53.33283831279505,0.05688536934503208,48.78205100433171,936,0.07111883700590968,3,18,1.1168430742387654,43,0.03234167831391663,0.014206051906238349,0.057695993860767535,12,0.4658459595959596,0.5341540404040404,0.4173728813559322,0.0016172038110145255,22
22,-37.792106557221246,0.2377317076764338,-24.31553351441431,1595,0.08026073663761814,3,6,1.0976407738281964,42,0.027791249528590013,0.01465691167946601,0.04902007597171662,14,0.5642045454545455,0.43579545454545454,0.4245049504950495,-0.0004373739479490677,22
23,14.993823327676978,0.1290269372927657,12.0919126742585,1444,0.06639062626812335,3,6,1.1826099105466727,40,0.03240375871927334,0.011528294644705728,0.07040941830381435,10,0.46325757575757576,0.5367424242424242,0.4156378600823045,0.0004493047846496306,22
24,-24.82874369739386,0.17841423622189145,-18.184041682714422,1525,0.05498065805325521,3,8,1.0954880340389859,44,0.03265736866380105,0.02295172994347007,0.053475853492167214,12,0.6458964646464647,0.35410353535353534,0.4346701164294955,-0.0005742728291751399,22
25,171.16369162934643,0.17383899646048218,126.53130505437089,1254,0.09150205747406913,2,5,0.9757065348053914,42,0.0349564338423845,0.026318691552836202,0.060798199348502655,13,0.6281565656565656,0.37184343434343436,0.4474097331240188,0.0031543227395047536,22
26,-68.52268879832445,0.29893591137236386,-37.79685015990648,1165,0.11095949391581313,2,4,0.9867839006444158,41,0.03393565730178198,0.027079488669938923,0.06964865919428585,15,0.6073863636363637,0.39261363636363633,0.42736486486486486,-0.000821548785876681,22
27,-4.224026823759232,0.15049776795223668,-3.270466910640021,633,0.09197327782085218,1,8,0.8182001126982545,38,0.02349985633262728,0.025574638519428265,0.046876717731441725,13,0.46414141414141413,0.5358585858585858,0.4672897196261682,2.1775620566714515e-05,22
28,122.5675534079387,0.2149481722782699,83.04904602945523,1297,0.09521826564727391,2,5,0.9481267336145102,44,0.03065862549357695,0.028637509863315105,0.07940174927880392,15,0.690530303030303,0.30946969696969695,0.4673748103186646,0.002233101816708083,22
