block_id,samples,mean_p0,mean_p1,mean_p2,purity0,purity1,purity2,pure_regime,purity,win_candles,stride
103,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
104,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
105,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
106,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
107,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
108,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
109,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
110,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
111,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
112,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
113,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
114,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
115,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
116,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
117,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
118,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
119,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
120,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
121,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
122,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
123,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
124,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
125,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
126,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
127,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
128,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
129,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
130,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
131,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
132,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
133,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
134,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
135,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
136,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
137,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
138,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
139,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
140,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
141,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
142,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
143,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
144,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
145,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
146,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
147,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
148,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
149,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
150,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
151,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
152,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
153,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
154,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
155,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
156,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
157,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
158,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
159,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
160,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
161,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
162,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
