TopBottom:0.23 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.31 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.19 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.42 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.19 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.42 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.23 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.30 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.24 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.28 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.28 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.17 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.26 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.22 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.27 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.20 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.27 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.18 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.26 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.23 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.26 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.21 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.27 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.20 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.29 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.12 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.35 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.42 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.47 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.52 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.57 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.61 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.66 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.71 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.12 | OpenNotes:0 Coin:0.0000
TopBottom:0.70 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.10 | OpenNotes:0 Coin:0.0000
TopBottom:0.72 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.17 | OpenNotes:0 Coin:0.0000
TopBottom:0.72 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.16 | OpenNotes:0 Coin:0.0000
TopBottom:0.71 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.14 | OpenNotes:0 Coin:0.0000
TopBottom:0.72 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.16 | OpenNotes:0 Coin:0.0000
TopBottom:0.70 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.10 | OpenNotes:0 Coin:0.0000
TopBottom:0.69 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.08 | OpenNotes:0 Coin:0.0000
TopBottom:0.70 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.09 | OpenNotes:0 Coin:0.0000
TopBottom:0.73 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.18 | OpenNotes:0 Coin:0.0000
